matlab_sample_id,matlab_sweep_id,matlab_sweep_index,input_angle_rad,input_direction,jacobian_condition,eligibility,pmks_sample_id,status,reason
matlab_0123,matlab_sweep_00,123,3.7175513067479029,1,1.7321238769879099,eligible,pmks_positive_0123,matched,
matlab_0124,matlab_sweep_00,124,3.735004599267846,1,1.7410975790576806,eligible,pmks_positive_0124,matched,
matlab_0125,matlab_sweep_00,125,3.7524578917877891,1,1.7500892348686341,eligible,pmks_positive_0125,matched,
matlab_0126,matlab_sweep_00,126,3.7699111843077318,1,1.7590937263713531,eligible,pmks_positive_0126,matched,
matlab_0127,matlab_sweep_00,127,3.7873644768276753,1,1.7681058008818673,eligible,pmks_positive_0127,matched,
matlab_0128,matlab_sweep_00,128,3.804817769347618,1,1.7771200702656682,eligible,pmks_positive_0128,matched,
matlab_0129,matlab_sweep_00,129,3.8222710618675615,1,1.786131010492177,eligible,pmks_positive_0129,matched,
matlab_0130,matlab_sweep_00,130,3.8397243543875046,1,1.7951329615900238,eligible,pmks_positive_0130,matched,
matlab_0131,matlab_sweep_00,131,3.8571776469074472,1,1.8041201280335304,eligible,pmks_positive_0131,matched,
matlab_0132,matlab_sweep_00,132,3.8746309394273908,1,1.8130865795907338,eligible,pmks_positive_0132,matched,
matlab_0133,matlab_sweep_00,133,3.8920842319473339,1,1.8220262526629891,eligible,pmks_positive_0133,matched,
matlab_0134,matlab_sweep_00,134,3.909537524467277,1,1.8309329521457338,eligible,pmks_positive_0134,matched,
matlab_0135,matlab_sweep_00,135,3.9269908169872201,1,1.8398003538393577,eligible,pmks_positive_0135,matched,
matlab_0136,matlab_sweep_00,136,3.9444441095071627,1,1.8486220074381483,eligible,pmks_positive_0136,matched,
matlab_0137,matlab_sweep_00,137,3.9618974020271063,1,1.8573913401241959,eligible,pmks_positive_0137,matched,
matlab_0138,matlab_sweep_00,138,3.9793506945470489,1,1.8661016607916245,eligible,pmks_positive_0138,matched,
matlab_0139,matlab_sweep_00,139,3.9968039870669925,1,1.874746164924874,eligible,pmks_positive_0139,matched,
matlab_0140,matlab_sweep_00,140,4.0142572795869356,1,1.8833179401526416,eligible,pmks_positive_0140,matched,
matlab_0141,matlab_sweep_00,141,4.0317105721068787,1,1.8918099724968083,eligible,pmks_positive_0141,matched,
matlab_0142,matlab_sweep_00,142,4.0491638646268218,1,1.9002151533329512,eligible,pmks_positive_0142,matched,
matlab_0143,matlab_sweep_00,143,4.0666171571467649,1,1.9085262870760364,eligible,pmks_positive_0143,matched,
matlab_0144,matlab_sweep_00,144,4.084070449666708,1,1.916736099601521,eligible,pmks_positive_0144,matched,
matlab_0145,matlab_sweep_00,145,4.1015237421866511,1,1.9248372474083832,eligible,pmks_positive_0145,matched,
matlab_0146,matlab_sweep_00,146,4.1189770347065942,1,1.932822327526551,eligible,pmks_positive_0146,matched,
matlab_0147,matlab_sweep_00,147,4.1364303272265373,1,1.9406838881668347,eligible,pmks_positive_0147,matched,
matlab_0148,matlab_sweep_00,148,4.1538836197464803,1,1.948414440106746,eligible,pmks_positive_0148,matched,
matlab_0149,matlab_sweep_00,149,4.1713369122664226,1,1.9560064688006282,eligible,pmks_positive_0149,matched,
matlab_0150,matlab_sweep_00,150,4.1887902047863665,1,1.963452447197227,eligible,pmks_positive_0150,matched,
matlab_0151,matlab_sweep_00,151,4.2062434973063088,1,1.9707448492423454,eligible,pmks_positive_0151,matched,
matlab_0152,matlab_sweep_00,152,4.2236967898262527,1,1.9778761640385034,eligible,pmks_positive_0152,matched,
matlab_0153,matlab_sweep_00,153,4.2411500823461949,1,1.9848389106276678,eligible,pmks_positive_0153,matched,
matlab_0154,matlab_sweep_00,154,4.2586033748661389,1,1.9916256533571153,eligible,pmks_positive_0154,matched,
matlab_0155,matlab_sweep_00,155,4.2760566673860811,1,1.9982290177824731,eligible,pmks_positive_0155,matched,
matlab_0156,matlab_sweep_00,156,4.2935099599060251,1,2.004641707055939,eligible,pmks_positive_0156,matched,
matlab_0157,matlab_sweep_00,157,4.3109632524259682,1,2.0108565187417131,eligible,pmks_positive_0157,matched,
matlab_0158,matlab_sweep_00,158,4.3284165449459113,1,2.0168663619948752,eligible,pmks_positive_0158,matched,
matlab_0159,matlab_sweep_00,159,4.3458698374658535,1,2.0226642750342823,eligible,pmks_positive_0159,matched,
matlab_0160,matlab_sweep_00,160,4.3633231299857975,1,2.0282434428347904,eligible,pmks_positive_0160,matched,
matlab_0161,matlab_sweep_00,161,4.3807764225057406,1,2.0335972149591033,eligible,pmks_positive_0161,matched,
matlab_0162,matlab_sweep_00,162,4.3982297150256837,1,2.0387191234450572,eligible,pmks_positive_0162,matched,
matlab_0163,matlab_sweep_00,163,4.4156830075456259,1,2.0436029006601286,eligible,pmks_positive_0163,matched,
matlab_0164,matlab_sweep_00,164,4.4331363000655699,1,2.0482424970315729,eligible,pmks_positive_0164,matched,
matlab_0165,matlab_sweep_00,165,4.450589592585513,1,2.0526320985578241,eligible,pmks_positive_0165,matched,
matlab_0166,matlab_sweep_00,166,4.4680428851054561,1,2.0567661440047846,eligible,pmks_positive_0166,matched,
matlab_0167,matlab_sweep_00,167,4.4854961776253983,1,2.0606393416894022,eligible,pmks_positive_0167,matched,
matlab_0168,matlab_sweep_00,168,4.5029494701453423,1,2.0642466857524888,eligible,pmks_positive_0168,matched,
matlab_0169,matlab_sweep_00,169,4.5204027626652845,1,2.0675834718232875,eligible,pmks_positive_0169,matched,
matlab_0170,matlab_sweep_00,170,4.5378560551852285,1,2.0706453119795856,eligible,pmks_positive_0170,matched,
matlab_0171,matlab_sweep_00,171,4.5553093477051716,1,2.0734281489095276,eligible,pmks_positive_0171,matched,
matlab_0172,matlab_sweep_00,172,4.5727626402251147,1,2.0759282691845007,eligible,pmks_positive_0172,matched,
matlab_0173,matlab_sweep_00,173,4.5902159327450578,1,2.0781423155566272,eligible,pmks_positive_0173,matched,
matlab_0174,matlab_sweep_00,174,4.6076692252650009,1,2.0800672981994146,eligible,pmks_positive_0174,matched,
matlab_0175,matlab_sweep_00,175,4.6251225177849431,1,2.0817006048161084,eligible,pmks_positive_0175,matched,
matlab_0176,matlab_sweep_00,176,4.6425758103048871,1,2.0830400095469517,eligible,pmks_positive_0176,matched,
matlab_0177,matlab_sweep_00,177,4.6600291028248293,1,2.0840836806141452,eligible,pmks_positive_0177,matched,
matlab_0178,matlab_sweep_00,178,4.6774823953447733,1,2.0848301866514065,eligible,pmks_positive_0178,matched,
matlab_0179,matlab_sweep_00,179,4.6949356878647155,1,2.0852785016738813,eligible,pmks_positive_0179,matched,
matlab_0180,matlab_sweep_00,180,4.7123889803846595,1,2.085428008653408,eligible,pmks_positive_0180,matched,
matlab_0181,matlab_sweep_00,181,4.7298422729046026,1,2.0852785016738826,eligible,pmks_positive_0181,matched,
matlab_0182,matlab_sweep_00,182,4.7472955654245457,1,2.0848301866514092,eligible,pmks_positive_0182,matched,
matlab_0183,matlab_sweep_00,183,4.7647488579444888,1,2.0840836806141474,eligible,pmks_positive_0183,matched,
matlab_0184,matlab_sweep_00,184,4.7822021504644319,1,2.0830400095469548,eligible,pmks_positive_0184,matched,
matlab_0185,matlab_sweep_00,185,4.799655442984375,1,2.0817006048161133,eligible,pmks_positive_0185,matched,
matlab_0186,matlab_sweep_00,186,4.8171087355043181,1,2.0800672981994213,eligible,pmks_positive_0186,matched,
matlab_0187,matlab_sweep_00,187,4.8345620280242612,1,2.0781423155566343,eligible,pmks_positive_0187,matched,
matlab_0188,matlab_sweep_00,188,4.8520153205442043,1,2.0759282691845091,eligible,pmks_positive_0188,matched,
matlab_0189,matlab_sweep_00,189,4.8694686130641474,1,2.0734281489095356,eligible,pmks_positive_0189,matched,
matlab_0190,matlab_sweep_00,190,4.8869219055840905,1,2.0706453119795962,eligible,pmks_positive_0190,matched,
matlab_0191,matlab_sweep_00,191,4.9043751981040336,1,2.067583471823299,eligible,pmks_positive_0191,matched,
matlab_0192,matlab_sweep_00,192,4.9218284906239766,1,2.0642466857524999,eligible,pmks_positive_0192,matched,
matlab_0193,matlab_sweep_00,193,4.9392817831439197,1,2.0606393416894142,eligible,pmks_positive_0193,matched,
matlab_0194,matlab_sweep_00,194,4.9567350756638628,1,2.0567661440047993,eligible,pmks_positive_0194,matched,
matlab_0195,matlab_sweep_00,195,4.9741883681838059,1,2.0526320985578388,eligible,pmks_positive_0195,matched,
matlab_0196,matlab_sweep_00,196,4.991641660703749,1,2.0482424970315884,eligible,pmks_positive_0196,matched,
matlab_0197,matlab_sweep_00,197,5.0090949532236921,1,2.0436029006601455,eligible,pmks_positive_0197,matched,
matlab_0198,matlab_sweep_00,198,5.0265482457436352,1,2.0387191234450746,eligible,pmks_positive_0198,matched,
matlab_0199,matlab_sweep_00,199,5.0440015382635783,1,2.0335972149591215,eligible,pmks_positive_0199,matched,
matlab_0200,matlab_sweep_00,200,5.0614548307835214,1,2.0282434428348091,eligible,pmks_positive_0200,matched,
matlab_0201,matlab_sweep_00,201,5.0789081233034645,1,2.0226642750343018,eligible,pmks_positive_0201,matched,
matlab_0202,matlab_sweep_00,202,5.0963614158234076,1,2.0168663619948961,eligible,pmks_positive_0202,matched,
matlab_0203,matlab_sweep_00,203,5.1138147083433507,1,2.0108565187417349,eligible,pmks_positive_0203,matched,
matlab_0204,matlab_sweep_00,204,5.1312680008632938,1,2.0046417070559608,eligible,pmks_positive_0204,matched,
matlab_0205,matlab_sweep_00,205,5.1487212933832369,1,1.9982290177824964,eligible,pmks_positive_0205,matched,
matlab_0206,matlab_sweep_00,206,5.16617458590318,1,1.9916256533571388,eligible,pmks_positive_0206,matched,
matlab_0207,matlab_sweep_00,207,5.1836278784231231,1,1.9848389106276918,eligible,pmks_positive_0207,matched,
matlab_0208,matlab_sweep_00,208,5.2010811709430662,1,1.9778761640385276,eligible,pmks_positive_0208,matched,
matlab_0209,matlab_sweep_00,209,5.2185344634630093,1,1.97074484924237,eligible,pmks_positive_0209,matched,
matlab_0210,matlab_sweep_00,210,5.2359877559829524,1,1.9634524471972534,eligible,pmks_positive_0210,matched,
matlab_0211,matlab_sweep_00,211,5.2534410485028955,1,1.9560064688006542,eligible,pmks_positive_0211,matched,
matlab_0212,matlab_sweep_00,212,5.2708943410228386,1,1.9484144401067722,eligible,pmks_positive_0212,matched,
matlab_0213,matlab_sweep_00,213,5.2883476335427817,1,1.9406838881668615,eligible,pmks_positive_0213,matched,
matlab_0214,matlab_sweep_00,214,5.3058009260627248,1,1.932822327526579,eligible,pmks_positive_0214,matched,
